Part Name,Project Ref Code,Model/Config,Site,Link,Total Used in Project,Quantity Bought,Price Each,Price Total,Used in Sections,Status
Resistors 10K 1/2 Watt,E10,S10KHCT-ND,Digikey,https://www.digikey.com/product-detail/en/stackpole-electronics-inc/CFM12JT10K0/S10KHCT-ND/2617547,10,10,0.054,0.54,PCB Assembly,"Ordered "
"Capacitor 100nF ",E11,399-4454-1-ND,Digikey,https://www.digikey.com/product-detail/en/C410C104M5U5TA7200/399-4454-1-ND/818311/?itemSeq=283708856,30,30,0.158,4.74,PCB Assembly,"Ordered "
Term block 2P side entry (5.08mm),E12,ED2580-ND,Digikey,https://www.digikey.com/products/en?keywords=ED2580-ND,4,4,0.73,2.92,PCB Assembly,"Ordered "
Connector Header pin 40P 2x20,E13,S9175-ND,Digikey,https://www.digikey.com/product-detail/en/SBH11-PBPC-D20-ST-BK/S9175-ND/1990068/?itemSeq=281160147,3,3,0.73,2.19,PCB Assembly,"Ordered "
Connector Header pin 6P 6x1,E14,455-1708-ND,Digikey,https://www.digikey.com/product-detail/en/jst-sales-america-inc/B6B-PH-K-S-LF-SN/455-1708-ND/926615,3,3,0.33,0.99,PCB Assembly,"Ordered "
"0.1""+A72 Pitch Pin Header (40 pins)",E15,S1011EC-40-ND,Digikey,https://www.digikey.com/products/en?keywords=S1011EC-40-ND,5,5,0.66,3.3,PCB Assembly,"Ordered "
Control Board,E1,,JLCPCB,https://jlcpcb.com/,1,1,0.33,11.8,"Body, PCB Assembly",Acquired
Arduino Shield,E2,,JLCPCB,https://jlcpcb.com/,1,1,1.48,2,"Head Assembly, PCB Assembly",Acquired
10A Fuse,E16,507-1916-ND,Digikey,https://www.digikey.com/products/en?keywords=507-1916-ND,3,3,0.33,0.99,PCB Assembly,"Ordered "
Power Diode,E17,497-2738-5-ND,Digikey,https://www.digikey.com/product-detail/en/STPS10L25D/497-2738-5-ND/603763/?itemSeq=281160145,1,1,1.48,1.48,PCB Assembly,"Ordered "
Term block 2P side entry,E18,277-1721-ND,Digikey,https://www.digikey.com/product-detail/en/phoenix-contact/1984617/277-1721-ND/950849,3,3,0.48,1.44,PCB Assembly,"Ordered "
Connector Header pin 16P 2x8,E19,ED10523-ND,Digikey,https://www.digikey.com/product-detail/en/302-S161/ED10523-ND/2794234/?itemSeq=281160135,2,2,0.4,0.8,PCB Assembly,"Ordered "
Arduino Uno,E24,1050-1024-ND,Digikey,https://www.digikey.com/product-detail/en/A000066/1050-1024-ND/2784006/?itemSeq=283429187,1,1,22,22,"Head Assembly, PCB Assembly","Ordered "
Op Amp LM 358P,E25,296-1395-5-ND,Digikey,https://www.digikey.com/products/en?keywords=296-1395-5-ND,4,4,0.36,1.44,PCB Assembly,"Ordered "
Rectangular 6P (1x6) Jumper Cable,E26,455-3156-ND,Digikey,https://www.digikey.com/product-detail/en/jst-sales-america-inc/A06KR06KR26E305B/455-3156-ND/6194811,1,1,1.55,1.55,"Electrical Build, PCB Assembly","Ordered "
USB A to USB Micro Cable (Data),E27,380-1430-ND,Digikey,https://www.digikey.com/product-detail/en/stewart-connector/SC-2AMK001F/380-1430-ND/8544576,5,5,2.46,12.3,PCB Assembly,"Ordered "
Term block 6p side entry,E3,ED2744-ND,Digikey,https://www.digikey.com/product-detail/en/OSTTE060104/ED2744-ND/2351820/?itemSeq=281160152,12,15,0.83,12.5,PCB Assembly,Acquired
Rectangular 16P (2x8) Ribbon Cable,E30,H3CCH-1606G-ND,Digikey,https://www.digikey.com/product-detail/en/H3CCH-1606G/H3CCH-1606G-ND/1218559/?itemSeq=281160137,1,1,1.4,1.4,Electrical Build,"Ordered "
DIP IC socket 8P,E33,AE9986-ND,Digikey,https://www.digikey.com/product-detail/en/A+08-LC-TT/AE9986-ND/821740/?itemSeq=281160151,3,3,0.18,0.54,PCB Assembly,"Ordered "
"USB A Connector ",E34,ED2989-ND,Digikey,https://www.digikey.com/product-detail/en/USB-A1HSW6/ED2989-ND/2677750/?itemSeq=283940458,2,,0.48,,PCB Assembly,
Switch,E39,432-1282-ND,Digikey,https://www.digikey.com/product-detail/en/bulgin/C3900BA/1091-1026-ND/2747857,1,1,11.54,11.54,Body,"Ordered "
"Term block 6P top entry ",E4,ED2627-ND,Digikey,https://www.digikey.com/product-detail/en/OSTTF060161/ED2627-ND/614576/?itemSeq=281160153,7,10,1.25,12.55,PCB Assembly,Acquired
Connector Header socket 20P 2x10,E5,S6106-ND,Digikey,https://www.digikey.com/product-detail/en/PPPC102LFBN-RC/S6106-ND/807245/?itemSeq=281160175,6,6,1.26,7.56,PCB Assembly,"Ordered "
Connector Header socket 5P 5x1,E6,S7038-ND,Digikey,https://www.digikey.com/product-detail/en/PPPC051LFBN-RC/S7038-ND/810177/?itemSeq=281160150,8,8,0.49,3.92,PCB Assembly,"Ordered "
Resistors 4.7K 1/4 Watt,E7,CF14JT4K70CT-ND,Digikey,https://www.digikey.com/products/en?keywords=CF14JT4K70CT-ND,10,10,0.036,0.36,PCB Assembly,"Ordered "
Roboclaw Motor Driver,E20,2x7A,Pololu,https://www.pololu.com/product/3284,5,,,,PCB Assembly,
Raspberry pi 3 model b,E21,B,Amazon,https://www.amazon.com/Raspberry-Model-1-2GHz-64-bit-quad-core/dp/B01CD5VC92/ref=sr_1_3?s=electronics&ie=UTF8&qid=1505769274&sr=1-3&keywords=raspberry+pi+3,1,1,0.036,0.36,PCB Assembly,Acquired
5V Buck Boost Regulator,E22,D24V50F5,Pololu,https://www.pololu.com/product/2851,1,,,,PCB Assembly,
12V Regulator,E23,D24V22F12,Pololu,https://www.pololu.com/product/2855,1,,,,PCB Assembly,
Resistors 10K 1/4 Watt,E8,CF14JT10K0CT-ND,Digikey,https://www.digikey.com/product-detail/en/stackpole-electronics-inc/CF14JT10K0/CF14JT10K0CT-ND/1830374,10,10,0.036,0.36,PCB Assembly,"Ordered "
Resistors 22K 1/4 Watt,E9,CF14JT22K0CT-ND,Digikey,https://www.digikey.com/product-detail/en/stackpole-electronics-inc/CF14JT22K0/CF14JT22K0CT-ND/1830383,10,10,0.036,0.36,PCB Assembly,"Ordered "
Red Wire 20AWG,X1,CN541R-50-ND,Digikey,https://www.digikey.com/products/en?keywords=CN541R-50-ND,2,N/A,N/A,N/A,"Electrical Build, PCB Assembly",Acquired
Black Wire 20AWG,X2,CN538B-50-ND,Digikey,https://www.digikey.com/products/en?keywords=CN538B-50-ND,2,N/A,N/A,N/A,"Electrical Build, PCB Assembly",Acquired
USB A to USB Micro Cable Right Angle,E28,,Amazon,https://www.amazon.com/gp/product/B00S8GU03A/ref=crt_ewc_img_dp_2?ie=UTF8&psc=1&smid=A1AMUYYA3CT6HJ,1,,,,"Electrical Build, PCB Assembly",
Rectangular 40P (2x20) Ribbon Cable,E29,1988,Adafruit,https://www.adafruit.com/product/1988,1,,,,"Electrical Build, PCB Assembly",
White Wire 30AWG,X3,1528-1737-ND,Digikey,https://www.digikey.com/products/en?keywords=1528-1737-ND,1,N/A,N/A,N/A,Electrical Build,Acquired
4 Position USB Hub,E31,,Amazon,https://www.amazon.com/Anker-Ultra-Slim-Portable-Adapter-Notebook/dp/B0192LPK5M/ref=sr_1_7?ie=UTF8&qid=1549577176&sr=8-7&keywords=external+power++usb+hub,1,,,,,
7 Position USB Hub,E32,,Amazon,https://www.amazon.com/Anker-7-Port-Adapter-Charging-iPhone/dp/B014ZQ07NE/ref=sr_1_15?ie=UTF8&qid=1549577308&sr=8-15&keywords=usb+hub,1,,,,,
Blue Wire 30AWG,X4,1528-1734-ND,Digikey,https://www.digikey.com/products/en?keywords=1528-1734-ND,1,N/A,N/A,N/A,Electrical Build,Acquired
Yellow Wire 30AWG,X5,1528-1735-ND,Digikey,https://www.digikey.com/products/en?keywords=1528-1735-ND,1,N/A,N/A,N/A,Electrical Build,Acquired
Tamiya Connectors,E35,E19,Amazon,https://www.amazon.com/Tamiya-Male-Female-150mm-Venom/dp/B000HKEVH6,1,,,,"Electrical Build, PCB Assembly",
Battery,E36,Standard Tamiya Connectors,BatterySpace,https://www.batteryspace.com/li-ion-battery-14-8v-5-2ah-77wh-8a-rate-for-diving-light---un-38-3-passed.aspx,1,,,,"Electrical Build, PCB Assembly",
LED Array,E37,,Adafruit,https://www.adafruit.com/product/420,1,,,,"Head Assembly, PCB Assembly",
Battery Volt Meter,E38,,Amazon,https://www.amazon.com/DROK-Multimeter-6-5-100V-Backlight-Measuring/dp/B017FSED9I,1,,,,Body,
Green Wire 30AWG,X6,1528-1736-ND,Digikey,https://www.digikey.com/products/en?keywords=1528-1736-ND,1,N/A,N/A,N/A,Electrical Build,Acquired
3 pin Micro Connectors,E40,CA-MIC3-W3-NC-1,US Digital,https://www.usdigital.com/products/cables-connectors/cables/3-pin/CA-MIC3-W3-NC,4,,,,Electrical Build,
Battery Charger,E41,Standard Tamiya Connectors,BatterySpace,https://www.batteryspace.com/smart-charger-3-0a-for-14-8v-li-ion-polymer-battery-pack.aspx,1,,,,Electrical Build,
Wire Braid,E42,25Ft 0.1875 Diameter,Amazon,https://www.amazon.com/16-Wind-Side-Entry-Sleeving/dp/B06XRKMB7N/ref=sr_1_8?keywords=side%2Bentry%2Bwire%2Bwrap&qid=1563912694&s=gateway&sr=8-8&th=1,1,,,,Electrical Build,
SD Card,E43,8Gb,Amazon,https://www.amazon.com/SanDisk-Ultra-Micro-Adapter-SDSQUNC-016G-GN6MA/dp/B010Q57SEE,1,,,,,
